table_name,column_name,ordinal_position,column_default,is_nullable,data_type
active_agents,id,1,nextval('active_agents_id_seq'::regclass),NO,integer
active_agents,agent_id,2,(gen_random_uuid())::text,YES,text
active_agents,agent_type,3,'system_validation'::character varying,YES,character varying
active_agents,status,4,'active'::character varying,YES,character varying
active_agents,last_activity,5,now(),YES,timestamp with time zone
active_agents,configuration,6,"'{""block_flow"": false, ""auto_correction"": true}'::jsonb",YES,jsonb
active_agents,created_at,7,now(),YES,timestamp with time zone
actividades_dpo,id,1,nextval('actividades_dpo_id_seq'::regclass),NO,integer
actividades_dpo,rat_id,2,null,YES,integer
actividades_dpo,tenant_id,3,null,YES,character varying
actividades_dpo,tipo_actividad,4,null,NO,character varying
actividades_dpo,descripcion,5,null,YES,text
actividades_dpo,estado,6,'pendiente'::character varying,YES,character varying
actividades_dpo,prioridad,7,'media'::character varying,YES,character varying
actividades_dpo,fecha_creacion,8,now(),YES,timestamp with time zone
actividades_dpo,fecha_vencimiento,9,null,YES,timestamp with time zone
actividades_dpo,asignado_a,10,null,YES,uuid
actividades_dpo,organizacion_id,11,1,YES,integer
actividades_dpo,created_by,12,null,YES,uuid
actividades_dpo,created_at,13,now(),YES,timestamp with time zone
actividades_dpo,metadatos,14,null,YES,jsonb
activities,id,1,uuid_generate_v4(),NO,uuid
activities,user_id,2,null,YES,uuid
activities,tenant_id,3,null,YES,uuid
activities,empresa_id,4,null,YES,uuid
activities,action,5,null,NO,character varying
activities,details,6,null,YES,jsonb
activities,ip_address,7,null,YES,inet
activities,user_agent,8,null,YES,text
activities,created_at,9,CURRENT_TIMESTAMP,YES,timestamp without time zone
agent_activity_log,id,1,nextval('agent_activity_log_id_seq'::regclass),NO,integer
agent_activity_log,agent_id,2,null,YES,text
agent_activity_log,activity_type,3,null,YES,character varying
agent_activity_log,activity_data,4,null,YES,jsonb
agent_activity_log,timestamp,5,now(),YES,timestamp with time zone
agent_activity_log,created_at,6,now(),YES,timestamp with time zone
arcopol,id,1,uuid_generate_v4(),NO,uuid
arcopol,tenant_id,2,null,YES,uuid
arcopol,empresa_id,3,null,YES,uuid
arcopol,title,4,null,NO,character varying
arcopol,description,5,null,YES,text
arcopol,status,6,'pending'::character varying,YES,character varying
arcopol,is_active,7,true,YES,boolean
arcopol,created_at,8,CURRENT_TIMESTAMP,YES,timestamp without time zone
arcopol,updated_at,9,CURRENT_TIMESTAMP,YES,timestamp without time zone
audit_log,id,1,gen_random_uuid(),NO,uuid
audit_log,tenant_id,2,null,NO,character varying
audit_log,user_id,3,null,YES,character varying
audit_log,user_email,4,null,YES,character varying
audit_log,action,5,null,NO,character varying
audit_log,table_name,6,null,NO,character varying
audit_log,record_id,7,null,YES,uuid
audit_log,old_values,8,null,YES,jsonb
audit_log,new_values,9,null,YES,jsonb
audit_log,changes,10,null,YES,jsonb
audit_log,ip_address,11,null,YES,inet
audit_log,user_agent,12,null,YES,text
audit_log,session_id,13,null,YES,character varying
audit_log,application_name,14,'SCLDP-Frontend'::character varying,YES,character varying
audit_log,operation_type,15,null,YES,character varying
audit_log,success,16,true,YES,boolean
audit_log,error_message,17,null,YES,text
audit_log,created_at,18,now(),YES,timestamp with time zone
audit_logs,id,1,uuid_generate_v4(),NO,uuid
audit_logs,tenant_id,2,null,YES,uuid
audit_logs,empresa_id,3,null,YES,uuid
audit_logs,user_id,4,null,YES,uuid
audit_logs,action,5,null,NO,character varying
audit_logs,table_name,6,null,YES,character varying
audit_logs,record_id,7,null,YES,uuid
audit_logs,old_values,8,null,YES,jsonb
audit_logs,new_values,9,null,YES,jsonb
audit_logs,ip_address,10,null,YES,inet
audit_logs,created_at,11,CURRENT_TIMESTAMP,YES,timestamp without time zone
breaches,id,1,uuid_generate_v4(),NO,uuid
breaches,tenant_id,2,null,YES,uuid
breaches,empresa_id,3,null,YES,uuid
breaches,title,4,null,NO,character varying
breaches,description,5,null,YES,text
breaches,severity,6,null,YES,character varying
breaches,status,7,'open'::character varying,YES,character varying
breaches,is_active,8,true,YES,boolean
breaches,created_at,9,CURRENT_TIMESTAMP,YES,timestamp without time zone
breaches,updated_at,10,CURRENT_TIMESTAMP,YES,timestamp without time zone
categories,id,1,uuid_generate_v4(),NO,uuid
categories,name,2,null,NO,character varying
categories,description,3,null,YES,text
categories,tenant_id,4,null,YES,uuid
categories,empresa_id,5,null,YES,uuid
categories,is_active,6,true,YES,boolean
categories,created_at,7,CURRENT_TIMESTAMP,YES,timestamp without time zone
categories,updated_at,8,CURRENT_TIMESTAMP,YES,timestamp without time zone
client_companies,id,1,gen_random_uuid(),NO,uuid
client_companies,company_code,2,null,NO,character varying
client_companies,company_name,3,null,NO,character varying
client_companies,company_rut,4,null,YES,character varying
client_companies,business_sector,5,null,YES,character varying
client_companies,company_size,6,null,YES,character varying
client_companies,contact_email,7,null,NO,character varying
client_companies,contact_phone,8,null,YES,character varying
