tabla,columna,tipo_dato,longitud,es_nulo
activities,id,uuid,null,NO
activities,user_id,uuid,null,YES
activities,tenant_id,uuid,null,YES
activities,empresa_id,uuid,null,YES
activities,action,character varying,100,NO
activities,details,jsonb,null,YES
activities,ip_address,inet,null,YES
activities,user_agent,text,null,YES
activities,created_at,timestamp without time zone,null,YES
arcopol,id,uuid,null,NO
arcopol,tenant_id,uuid,null,YES
arcopol,empresa_id,uuid,null,YES
arcopol,title,character varying,255,NO
arcopol,description,text,null,YES
arcopol,status,character varying,50,YES
arcopol,is_active,boolean,null,YES
arcopol,created_at,timestamp without time zone,null,YES
arcopol,updated_at,timestamp without time zone,null,YES
audit_log,id,uuid,null,NO
audit_log,tenant_id,character varying,255,NO
audit_log,user_id,character varying,255,YES
audit_log,user_email,character varying,255,YES
audit_log,action,character varying,50,NO
audit_log,table_name,character varying,100,NO
audit_log,record_id,uuid,null,YES
audit_log,old_values,jsonb,null,YES
audit_log,new_values,jsonb,null,YES
audit_log,changes,jsonb,null,YES
audit_log,ip_address,inet,null,YES
audit_log,user_agent,text,null,YES
audit_log,session_id,character varying,255,YES
audit_log,application_name,character varying,100,YES
audit_log,operation_type,character varying,50,YES
audit_log,success,boolean,null,YES
audit_log,error_message,text,null,YES
audit_log,created_at,timestamp with time zone,null,YES
audit_logs,id,uuid,null,NO
audit_logs,tenant_id,uuid,null,YES
audit_logs,empresa_id,uuid,null,YES
audit_logs,user_id,uuid,null,YES
audit_logs,action,character varying,100,NO
audit_logs,table_name,character varying,100,YES
audit_logs,record_id,uuid,null,YES
audit_logs,old_values,jsonb,null,YES
audit_logs,new_values,jsonb,null,YES
audit_logs,ip_address,inet,null,YES
audit_logs,created_at,timestamp without time zone,null,YES
breaches,id,uuid,null,NO
breaches,tenant_id,uuid,null,YES
breaches,empresa_id,uuid,null,YES
breaches,title,character varying,255,NO
breaches,description,text,null,YES
breaches,severity,character varying,50,YES
breaches,status,character varying,50,YES
breaches,is_active,boolean,null,YES
breaches,created_at,timestamp without time zone,null,YES
breaches,updated_at,timestamp without time zone,null,YES
categories,id,uuid,null,NO
categories,name,character varying,255,NO
categories,description,text,null,YES
categories,tenant_id,uuid,null,YES
categories,empresa_id,uuid,null,YES
categories,is_active,boolean,null,YES
categories,created_at,timestamp without time zone,null,YES
categories,updated_at,timestamp without time zone,null,YES
client_companies,id,uuid,null,NO
client_companies,company_code,character varying,50,NO
client_companies,company_name,character varying,255,NO
client_companies,company_rut,character varying,12,YES
client_companies,business_sector,character varying,100,YES
client_companies,company_size,character varying,50,YES
client_companies,contact_email,character varying,255,NO
client_companies,contact_phone,character varying,50,YES
client_companies,address,text,null,YES
client_companies,city,character varying,100,YES
client_companies,region,character varying,100,YES
client_companies,country,character varying,100,YES
client_companies,dpo_assigned,boolean,null,YES
client_companies,dpo_name,character varying,255,YES
client_companies,dpo_email,character varying,255,YES
client_companies,subscription_tier,character varying,50,YES
client_companies,subscription_start_date,date,null,YES
client_companies,subscription_end_date,date,null,YES
client_companies,is_active,boolean,null,YES
client_companies,onboarding_completed,boolean,null,YES
client_companies,onboarding_completion_date,timestamp with time zone,null,YES
client_companies,created_at,timestamp with time zone,null,YES
client_companies,updated_at,timestamp with time zone,null,YES
company_quotas,id,uuid,null,NO
company_quotas,company_id,uuid,null,YES
company_quotas,tenant_id,character varying,100,NO
company_quotas,quota_type,character varying,100,NO
company_quotas,quota_limit,integer,null,NO
company_quotas,quota_used,integer,null,YES
company_quotas,quota_period,character varying,50,YES
company_quotas,reset_date,date,null,YES
company_quotas,is_active,boolean,null,YES
company_quotas,created_at,timestamp with time zone,null,YES
company_quotas,updated_at,timestamp with time zone,null,YES
company_usage_metrics,id,uuid,null,NO
company_usage_metrics,company_id,uuid,null,YES
company_usage_metrics,tenant_id,character varying,100,NO
company_usage_metrics,metric_date,date,null,NO
company_usage_metrics,active_users,integer,null,YES
company_usage_metrics,total_sessions,integer,null,YES
company_usage_metrics,total_session_duration_minutes,integer,null,YES
company_usage_metrics,modules_accessed,ARRAY,null,YES
company_usage_metrics,documents_generated,integer,null,YES
company_usage_metrics,assessments_completed,integer,null,YES
company_usage_metrics,storage_used_mb,numeric,null,YES
company_usage_metrics,api_calls,integer,null,YES
company_usage_metrics,features_used,jsonb,null,YES
